ID_Transaksi,Tanggal,Produk,Harga,Jumlah,Total,Rating_Customer,Diskon
31,2024-01-02 06:00:00,Laptop,5000,1,4850.0,4,0.03
32,2024-01-02 07:00:00,Mouse,150,2,285.0,3,0.05
33,2024-01-02 08:00:00,Keyboard,200,5,900.0,5,0.10
34,2024-01-02 09:00:00,Monitor,2000,2,3400.0,4,0.15
35,2024-01-02 10:00:00,Printer,800,1,720.0,2,0.10
36,2024-01-02 11:00:00,Laptop,5000,3,13500.0,5,0.10
37,2024-01-02 12:00:00,Mouse,150,9,1215.0,4,0.10
38,2024-01-02 13:00:00,Keyboard,200,1,180.0,3,0.10
39,2024-01-02 14:00:00,Monitor,2000,1,2000.0,5,0.00
40,2024-01-02 15:00:00,Printer,800,2,1520.0,4,0.05
41,2024-01-02 16:00:00,Laptop,5000,1,4900.0,3,0.02
42,2024-01-02 17:00:00,Mouse,150,3,427.5,5,0.05
43,2024-01-02 18:00:00,Keyboard,200,4,720.0,4,0.10
44,2024-01-02 19:00:00,Monitor,2000,2,3600.0,5,0.10
45,2024-01-02 20:00:00,Printer,800,3,2280.0,3,0.05
46,2024-01-02 21:00:00,Laptop,5000,2,9400.0,4,0.06
47,2024-01-02 22:00:00,Mouse,150,5,675.0,5,0.10
48,2024-01-02 23:00:00,Keyboard,200,2,360.0,3,0.10
49,2024-01-03 00:00:00,Monitor,2000,1,1900.0,4,0.05
50,2024-01-03 01:00:00,Printer,800,1,680.0,4,0.15
51,2024-01-03 02:00:00,Laptop,5000,1,4600.0,5,0.08
52,2024-01-03 03:00:00,Mouse,150,8,1080.0,4,0.10
53,2024-01-03 04:00:00,Keyboard,200,3,540.0,5,0.10
54,2024-01-03 05:00:00,Monitor,2000,1,1800.0,3,0.10
55,2024-01-03 06:00:00,Printer,800,2,1440.0,5,0.10
56,2024-01-03 07:00:00,Laptop,5000,2,10000.0,4,0.00
57,2024-01-03 08:00:00,Mouse,150,4,570.0,4,0.05
58,2024-01-03 09:00:00,Keyboard,200,1,200.0,5,0.00
59,2024-01-03 10:00:00,Monitor,2000,3,5400.0,5,0.10
60,2024-01-03 11:00:00,Printer,800,1,760.0,3,0.05
61,2024-01-03 12:00:00,Laptop,5000,1,5000.0,3,0.00
62,2024-01-03 13:00:00,Mouse,150,6,810.0,5,0.10
63,2024-01-03 14:00:00,Keyboard,200,2,380.0,4,0.05
64,2024-01-03 15:00:00,Monitor,2000,1,1700.0,4,0.15
65,2024-01-03 16:00:00,Printer,800,3,2400.0,5,0.00
66,2024-01-03 17:00:00,Laptop,5000,2,9200.0,4,0.08
67,2024-01-03 18:00:00,Mouse,150,7,945.0,3,0.10
68,2024-01-03 19:00:00,Keyboard,200,4,720.0,5,0.10
69,2024-01-03 20:00:00,Monitor,2000,2,3800.0,4,0.05
70,2024-01-03 21:00:00,Printer,800,1,800.0,2,0.00
71,2024-01-03 22:00:00,Laptop,5000,1,4750.0,5,0.05
72,2024-01-03 23:00:00,Mouse,150,3,427.5,4,0.05
73,2024-01-04 00:00:00,Keyboard,200,5,900.0,5,0.10
74,2024-01-04 01:00:00,Monitor,2000,1,2000.0,3,0.00
75,2024-01-04 02:00:00,Printer,800,2,1440.0,4,0.10
76,2024-01-04 03:00:00,Laptop,5000,3,14100.0,5,0.06
77,2024-01-04 04:00:00,Mouse,150,9,1215.0,4,0.10
78,2024-01-04 05:00:00,Keyboard,200,1,190.0,5,0.05
79,2024-01-04 06:00:00,Monitor,2000,2,3600.0,4,0.10
80,2024-01-04 07:00:00,Printer,800,1,760.0,3,0.05
81,2024-01-04 08:00:00,Laptop,5000,1,4850.0,5,0.03
82,2024-01-04 09:00:00,Mouse,150,4,570.0,4,0.05
83,2024-01-04 10:00:00,Keyboard,200,2,360.0,3,0.10
84,2024-01-04 11:00:00,Monitor,2000,1,1700.0,5,0.15
85,2024-01-04 12:00:00,Printer,800,3,2280.0,4,0.05
86,2024-01-04 13:00:00,Laptop,5000,2,9400.0,3,0.06
87,2024-01-04 14:00:00,Mouse,150,6,810.0,5,0.10
88,2024-01-04 15:00:00,Keyboard,200,3,540.0,4,0.10
89,2024-01-04 16:00:00,Monitor,2000,1,1900.0,5,0.05
90,2024-01-04 17:00:00,Printer,800,1,720.0,3,0.10
91,2024-01-04 18:00:00,Laptop,5000,1,5000.0,4,0.00
92,2024-01-04 19:00:00,Mouse,150,8,1080.0,5,0.10
93,2024-01-04 20:00:00,Keyboard,200,4,720.0,3,0.10
94,2024-01-04 21:00:00,Monitor,2000,2,3800.0,4,0.05
95,2024-01-04 22:00:00,Printer,800,2,1600.0,5,0.00
96,2024-01-04 23:00:00,Laptop,5000,2,10000.0,5,0.00
97,2024-01-05 00:00:00,Mouse,150,5,675.0,4,0.10
98,2024-01-05 01:00:00,Keyboard,200,1,180.0,4,0.10
99,2024-01-05 02:00:00,Monitor,2000,1,2000.0,3,0.00
100,2024-01-05 03:00:00,Printer,800,3,2400.0,5,0.00
